               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 124,            0.031184,            0.017928,           0.0034797,             0.57341,             0.27834,             0.29078,             0.12544,            0.067138,            0.025736,            0.027383,           0.0039115,           0.0039115,           0.0039115
                 125,            0.031036,             0.01744,           0.0035791,             0.36374,             0.34123,             0.28168,             0.10591,            0.067247,            0.026477,            0.024984,            0.003862,            0.003862,            0.003862
                 126,            0.031348,            0.018074,            0.003683,             0.49917,             0.29994,             0.29904,             0.11675,            0.067294,            0.026149,            0.025633,           0.0038125,           0.0038125,           0.0038125
                 127,            0.031166,            0.018374,           0.0033228,              0.5946,             0.32446,             0.30715,             0.11259,            0.067701,            0.026536,            0.025444,            0.003763,            0.003763,            0.003763
                 128,            0.031107,            0.017338,           0.0038022,             0.48093,             0.33683,              0.2956,             0.12497,            0.067663,            0.026084,            0.027115,           0.0037135,           0.0037135,           0.0037135
                 129,            0.030968,            0.017901,           0.0031577,             0.53815,             0.31953,             0.29733,             0.12534,             0.06694,             0.02636,            0.026905,            0.003664,            0.003664,            0.003664
                 130,            0.030418,             0.01754,           0.0029392,             0.58948,             0.32401,             0.31284,             0.12972,            0.066776,             0.02634,             0.02633,           0.0036145,           0.0036145,           0.0036145
                 131,            0.030679,            0.018051,           0.0030834,             0.54796,             0.33128,             0.31092,             0.12004,            0.066983,            0.026394,            0.025141,            0.003565,            0.003565,            0.003565
                 132,            0.031039,            0.017633,           0.0039579,             0.54814,             0.31255,             0.30645,             0.12506,            0.066584,            0.025629,            0.024859,           0.0035155,           0.0035155,           0.0035155
                 133,            0.030797,            0.017494,           0.0030711,             0.49871,              0.3108,             0.30869,              0.1238,            0.066323,            0.026361,            0.024481,            0.003466,            0.003466,            0.003466
                 134,            0.030447,            0.017214,           0.0029076,             0.54163,              0.3297,             0.30033,             0.12147,            0.066648,            0.026131,             0.02663,           0.0034165,           0.0034165,           0.0034165
                 135,            0.030612,            0.017346,            0.002808,             0.52267,             0.32648,             0.30221,             0.11742,            0.066797,            0.026646,            0.027203,            0.003367,            0.003367,            0.003367
                 136,            0.030153,            0.017608,           0.0028852,             0.57499,             0.32798,             0.32126,             0.13463,            0.066996,            0.026526,            0.026505,           0.0033175,           0.0033175,           0.0033175
                 137,            0.029484,            0.017107,           0.0031454,             0.51942,             0.31025,             0.28991,             0.12253,            0.066564,            0.026978,            0.026654,            0.003268,            0.003268,            0.003268
                 138,             0.03023,            0.016946,           0.0027319,             0.58399,             0.29278,             0.28785,             0.11179,            0.066878,            0.026969,            0.025791,           0.0032185,           0.0032185,           0.0032185
                 139,            0.029908,            0.017074,           0.0033645,             0.43386,             0.32669,             0.28655,             0.12214,            0.066256,             0.02705,            0.024809,            0.003169,            0.003169,            0.003169
